39;    Vue de Delft;;;Jan Vermeer;4;;(;    Vue de Delft;,;';';,;),;(39,'    Vue de Delft',4),
40;A young Man(Self-Portrait);;;Diego Vélasquez ;1;;(;A young Man(Self-Portrait);,;';';,;),;(40,'A young Man(Self-Portrait)',1),
41;Adoration des Mages;;;Diego Vélasquez ;1;;(;Adoration des Mages;,;';';,;),;(41,'Adoration des Mages',1),
42;Annunciation;;;Léonard de Vinci;4;;(;Annunciation;,;';';,;),;(42,'Annunciation',4),
43;auto portrait avec épouse;;;František Kupka ;2;;(;auto portrait avec épouse;,;';';,;),;(43,'auto portrait avec épouse',2),
43;auto portrait avec épouse;;;František Kupka ;2;;(;auto portrait avec épouse;,;';';,;),;(43,'auto portrait avec épouse',2),
44;Automobile;;;Léonard de Vinci;4;;(;Automobile;,;';';,;),;(44,'Automobile',4),
45;avions par couleurs , grand nu;;;František Kupka ;2;;(;avions par couleurs , grand nu;,;';';,;),;(45,'avions par couleurs , grand nu',2),
45;avions par couleurs , grand nu;;;František Kupka ;2;;(;avions par couleurs , grand nu;,;';';,;),;(45,'avions par couleurs , grand nu',2),
46;Babylone;;;František Kupka ;2;;(;Babylone;,;';';,;),;(46,'Babylone',2),
46;Babylone;;;František Kupka ;2;;(;Babylone;,;';';,;),;(46,'Babylone',2),
47;Breakfast;;;Diego Vélasquez ;1;;(;Breakfast;,;';';,;),;(47,'Breakfast',1),
48;Château de Norham;;;William Turner;5;;(;Château de Norham;,;';';,;),;(48,'Château de Norham',5),
49;Christ contemplé par l’âme chrétienne;;;Diego Vélasquez ;1;;(;Christ contemplé par l’âme chrétienne;,;';';,;),;(49,'Christ contemplé par l’âme chrétienne',1),
50;Christ dans la maison de Marthe et Marie;;;Diego Vélasquez ;1;;(;Christ dans la maison de Marthe et Marie;,;';';,;),;(50,'Christ dans la maison de Marthe et Marie',1),
51;Chromatics chauds;;;František Kupka ;2;;(;Chromatics chauds;,;';';,;),;(51,'Chromatics chauds',2),
51;Chromatics chauds;;;František Kupka ;2;;(;Chromatics chauds;,;';';,;),;(51,'Chromatics chauds',2),
52;Chutes de Clyde;;;William Turner;5;;(;Chutes de Clyde;,;';';,;),;(52,'Chutes de Clyde',5),
53;Clés de piano lac;;;František Kupka ;2;;(;Clés de piano lac;,;';';,;),;(53,'Clés de piano lac',2),
53;Clés de piano lac;;;František Kupka ;2;;(;Clés de piano lac;,;';';,;),;(53,'Clés de piano lac',2),
54;Coucher de soleil écarlate;;;William Turner;5;;(;Coucher de soleil écarlate;,;';';,;),;(54,'Coucher de soleil écarlate',5),
55;Crossbow Machine;;;Léonard de Vinci;4;;(;Crossbow Machine;,;';';,;),;(55,'Crossbow Machine',4),
56;Déjeuner de paysans;;;Diego Vélasquez ;1;;(;Déjeuner de paysans;,;';';,;),;(56,'Déjeuner de paysans',1),
57;Démocrite;;;Diego Vélasquez ;1;;(;Démocrite;,;';';,;),;(57,'Démocrite',1),
58;Deux jeunes à table;;;Diego Vélasquez ;1;;(;Deux jeunes à table;,;';';,;),;(58,'Deux jeunes à table',1),
59;Don Cristobal Suarez de Ribera;;;Diego Vélasquez ;1;;(;Don Cristobal Suarez de Ribera;,;';';,;),;(59,'Don Cristobal Suarez de Ribera',1),
60;Don Gaspde Guzman, Count of Olivares and Duke of San Lucla Mayor;;;Diego Vélasquez ;1;;(;Don Gaspde Guzman, Count of Olivares and Duke of San Lucla Mayor;,;';';,;),;(60,'Don Gaspde Guzman, Count of Olivares and Duke of San Lucla Mayor',1),
61;Drapery for a seated figure;;;Léonard de Vinci;4;;(;Drapery for a seated figure;,;';';,;),;(61,'Drapery for a seated figure',4),
61;Drapery for a seated figure;;;Léonard de Vinci;4;;(;Drapery for a seated figure;,;';';,;),;(61,'Drapery for a seated figure',4),
62;Eau . le baigneur .;;;František Kupka ;2;;(;Eau . le baigneur .;,;';';,;),;(62,'Eau . le baigneur .',2),
62;Eau . le baigneur .;;;František Kupka ;2;;(;Eau . le baigneur .;,;';';,;),;(62,'Eau . le baigneur .',2),
63;Éruption du Vésuve ;;;William Turner;5;;(;Éruption du Vésuve ;,;';';,;),;(63,'Éruption du Vésuve ',5),
64;Esclaves ...;;;William Turner;5;;(;Esclaves ...;,;';';,;),;(64,'Esclaves ...',5),
65;Femme cueillant des fleurs;;;František Kupka ;2;;(;Femme cueillant des fleurs;,;';';,;),;(65,'Femme cueillant des fleurs',2),
65;Femme cueillant des fleurs;;;František Kupka ;2;;(;Femme cueillant des fleurs;,;';';,;),;(65,'Femme cueillant des fleurs',2),
66;forer;;;František Kupka ;2;;(;forer;,;';';,;),;(66,'forer',2),
66;forer;;;František Kupka ;2;;(;forer;,;';';,;),;(66,'forer',2),
67;Glaucus et Scylla;;;William Turner;5;;(;Glaucus et Scylla;,;';';,;),;(67,'Glaucus et Scylla',5),
68;Head of a Girl;;;Diego Vélasquez ;1;;(;Head of a Girl;,;';';,;),;(68,'Head of a Girl',1),
